Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
FANCB	X	14835961	14873069
MAD2L2	1	11674480	11691650
UBE2T	1	202331657	202341980
FANCL	2	58159243	58241372
FANCD2	3	10026414	10101930
FANCE	6	35452356	35467103
XRCC2	7	152644779	152676165
FANCG	9	35073835	35080016
FANCC	9	95099054	95426796
SETX	9	132261356	132354985
FANCF	11	22622890	22625841
BRCA2	13	32315474	32400266
FANCM	14	45135940	45200890
RAD51	15	40694774	40732339
FANCI	15	89243949	89317261
SLX4	16	3581181	3611598
ERCC4	16	13920157	13952345
PALB2	16	23603160	23641310
RFWD3	16	74621394	74666881
FANCA	16	89737549	89816657
BRCA1	17	43044295	43170245
RAD51C	17	58692573	58735611
BRIP1	17	61681266	61863521
